parcel_id,g3_entity_id,g3_name_en,g3_name_zh,official_code,official_modified_name,seed_mask,seed_dk_constituents,candidate_g1,hemisphere,current_human_decision,review_basis
188,NGIQ-BR-00000194,"Right Cingulate gyrus, Brainnetome 7_7",右侧扣带回（Brainnetome 7-7）,CG_R_7_7,subgenual area 32,CG,Anterior Cingulate Gyrus; Posterior Cingulate Gyrus; Caudal Part of Anterior Cingulate Gyrus; Isthmus of Cingulate Gyrus,,right,PENDING_HUMAN_REVIEW,composite DK seed; candidate requires anatomical/spatial review
189,NGIQ-BR-00000015,"Left Medioventral occipital cortex, Brainnetome 5_1",左侧腹内侧枕叶皮层（Brainnetome 5-1）,MVOcC_L_5_1,caudal lingual gyrus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,Lingual Gyrus,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
190,NGIQ-BR-00000016,"Right Medioventral occipital cortex, Brainnetome 5_1",右侧腹内侧枕叶皮层（Brainnetome 5-1）,MVOcC_R_5_1,caudal lingual gyrus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,Lingual Gyrus,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
191,NGIQ-BR-00000195,"Left Medioventral occipital cortex, Brainnetome 5_2",左侧腹内侧枕叶皮层（Brainnetome 5-2）,MVOcC_L_5_2,rostral cuneus gyrus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,Cuneus,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
192,NGIQ-BR-00000196,"Right Medioventral occipital cortex, Brainnetome 5_2",右侧腹内侧枕叶皮层（Brainnetome 5-2）,MVOcC_R_5_2,rostral cuneus gyrus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,Cuneus,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
193,NGIQ-BR-00000197,"Left Medioventral occipital cortex, Brainnetome 5_3",左侧腹内侧枕叶皮层（Brainnetome 5-3）,MVOcC_L_5_3,caudal cuneus gyrus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,Cuneus,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
194,NGIQ-BR-00000198,"Right Medioventral occipital cortex, Brainnetome 5_3",右侧腹内侧枕叶皮层（Brainnetome 5-3）,MVOcC_R_5_3,caudal cuneus gyrus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,Cuneus,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
195,NGIQ-BR-00000199,"Left Medioventral occipital cortex, Brainnetome 5_4",左侧腹内侧枕叶皮层（Brainnetome 5-4）,MVOcC_L_5_4,rostral lingual gyrus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,Lingual Gyrus,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
196,NGIQ-BR-00000200,"Right Medioventral occipital cortex, Brainnetome 5_4",右侧腹内侧枕叶皮层（Brainnetome 5-4）,MVOcC_R_5_4,rostral lingual gyrus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,Lingual Gyrus,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
197,NGIQ-BR-00000201,"Left Medioventral occipital cortex, Brainnetome 5_5",左侧腹内侧枕叶皮层（Brainnetome 5-5）,MVOcC_L_5_5,ventromedial parietooccipital sulcus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,,left,NO_G1_ROLLUP,sulcus parcel; CURRENT G1 has no sulcus concept (frozen NO_ROLLUP preserved)
198,NGIQ-BR-00000202,"Right Medioventral occipital cortex, Brainnetome 5_5",右侧腹内侧枕叶皮层（Brainnetome 5-5）,MVOcC_R_5_5,ventromedial parietooccipital sulcus,MVOcC,Cuneus Cortex; Pericalcarine Cortex; Lingual Gyrus,,right,NO_G1_ROLLUP,sulcus parcel; CURRENT G1 has no sulcus concept (frozen NO_ROLLUP preserved)
219,NGIQ-BR-00000019,"Left Striatum (basal ganglia), Brainnetome 6_1",左侧纹状体（Brainnetome 6-1）,BG_L_6_1,ventral caudate,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Caudate,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
220,NGIQ-BR-00000221,"Right Striatum (basal ganglia), Brainnetome 6_1",右侧纹状体（Brainnetome 6-1）,BG_R_6_1,ventral caudate,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Caudate,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
221,NGIQ-BR-00000222,"Left Striatum (basal ganglia), Brainnetome 6_2",左侧纹状体（Brainnetome 6-2）,BG_L_6_2,globus pallidus,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Globus Pallidus,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
222,NGIQ-BR-00000223,"Right Striatum (basal ganglia), Brainnetome 6_2",右侧纹状体（Brainnetome 6-2）,BG_R_6_2,globus pallidus,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Globus Pallidus,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
223,NGIQ-BR-00000224,"Left Striatum (basal ganglia), Brainnetome 6_3",左侧纹状体（Brainnetome 6-3）,BG_L_6_3,nucleus accumbens,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Nucleus Accumbens,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
224,NGIQ-BR-00000225,"Right Striatum (basal ganglia), Brainnetome 6_3",右侧纹状体（Brainnetome 6-3）,BG_R_6_3,nucleus accumbens,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Nucleus Accumbens,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
225,NGIQ-BR-00000226,"Left Striatum (basal ganglia), Brainnetome 6_4",左侧纹状体（Brainnetome 6-4）,BG_L_6_4,ventromedial putamen,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Putamen,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
226,NGIQ-BR-00000227,"Right Striatum (basal ganglia), Brainnetome 6_4",右侧纹状体（Brainnetome 6-4）,BG_R_6_4,ventromedial putamen,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Putamen,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
227,NGIQ-BR-00000228,"Left Striatum (basal ganglia), Brainnetome 6_5",左侧纹状体（Brainnetome 6-5）,BG_L_6_5,dorsal caudate,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Caudate,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
228,NGIQ-BR-00000229,"Right Striatum (basal ganglia), Brainnetome 6_5",右侧纹状体（Brainnetome 6-5）,BG_R_6_5,dorsal caudate,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Caudate,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
229,NGIQ-BR-00000230,"Left Striatum (basal ganglia), Brainnetome 6_6",左侧纹状体（Brainnetome 6-6）,BG_L_6_6,dorsolateral putamen,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Putamen,left,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
230,NGIQ-BR-00000231,"Right Striatum (basal ganglia), Brainnetome 6_6",右侧纹状体（Brainnetome 6-6）,BG_R_6_6,dorsolateral putamen,BG,Caudate Nucleus; Putamen; Globus Pallidus; Nucleus Accumbens,Putamen,right,HUMAN_AUTHORITY_APPROVED_CANDIDATE,Phase 1C official-nomenclature human approval (preserved)
